Id,Locality,House or appartment?,Subtype,Price,Type of sale,Number of rooms,Living area,Fully equipped kitchen,Furnished,Open fire,Terrace,Area of terrace,Garden,Area of garden,Land surface,Number of facades,Swimming pool,State of building
10278724,Woluwe-Saint-Pierre,HOUSE,HOUSE,985000.0,BUY_REGULAR,5.0,265.0,0,None,0,1,15,1,420,792,4,0,TO_RENOVATE
10301616,Ixelles,APARTMENT,DUPLEX,490000.0,BUY_REGULAR,3.0,122.0,1,None,0,1,7,None,None,None,2,0,AS_NEW
10297399,Etterbeek,APARTMENT,GROUND_FLOOR,249000.0,BUY_REGULAR,1.0,68.0,0,None,0,None,None,None,None,None,,0,GOOD
10289196,Uccle,HOUSE,HOUSE,1300000.0,BUY_REGULAR,5.0,369.0,None,None,0,1,None,None,None,528,3,0,GOOD
10295080,Sint-Gillis,HOUSE,MIXED_USE_BUILDING,2400000.0,BUY_REGULAR,7.0,640.0,0,None,0,None,None,1,50,170,3,0,GOOD
9905371,Molenbeek-Saint-Jean,HOUSE,HOUSE,465000.0,BUY_REGULAR,5.0,250.0,0,None,0,1,24,1,15,95,2,0,GOOD
10287233,Ixelles,APARTMENT,GROUND_FLOOR,360000.0,BUY_REGULAR,1.0,80.0,0,None,0,1,25,None,None,None,2,0,
10024175,Bruxelles,APARTMENT,GROUND_FLOOR,335000.0,BUY_REGULAR,1.0,82.0,0,None,0,1,14,None,None,None,2,0,AS_NEW
10283130,Auderghem,APARTMENT,FLAT_STUDIO,262500.0,BUY_REGULAR,0.0,49.0,0,None,0,1,8,None,None,None,,None,AS_NEW
10276923,Schaerbeek,APARTMENT,APARTMENT,298000.0,BUY_REGULAR,3.0,80.0,0,None,0,None,None,None,None,None,3,None,AS_NEW
10281196,Uccle,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,None,None,0,None,None,None,None,None,None,None,None
10299801,Uccle,APARTMENT,APARTMENT,310000.0,BUY_REGULAR,2.0,100.0,0,None,0,None,None,None,None,None,2,0,TO_BE_DONE_UP
10133610,St-Gilles,HOUSE,MANSION,685000.0,BUY_REGULAR,5.0,300.0,0,None,0,1,45,1,45,142,2,None,GOOD
10301608,Brussels City,APARTMENT,DUPLEX,283500.0,BUY_REGULAR,3.0,80.0,0,None,0,1,5,None,None,,2,None,GOOD
10301606,Evere,APARTMENT,APARTMENT,199000.0,BUY_REGULAR,1.0,68.0,1,None,0,1,9,None,None,None,2,0,TO_BE_DONE_UP
10289193,Uccle,HOUSE,HOUSE,590000.0,BUY_REGULAR,5.0,404.0,0,None,1,1,30,1,250,366,2,None,
9931823,WOLUWE-SAINT-LAMBERT,APARTMENT,APARTMENT,850000.0,BUY_REGULAR,3.0,211.0,1,None,0,1,None,None,None,None,,None,GOOD
10295054,Saint-Josse-ten-Noode,HOUSE,APARTMENT_BLOCK,210000.0,PUBLIC_SALE,2.0,,None,None,0,None,None,None,None,101,None,None,None
10294997,Molenbeek-Saint-Jean,APARTMENT,APARTMENT,245000.0,BUY_REGULAR,2.0,,0,None,0,1,4,None,None,None,,0,AS_NEW
10285083,Bruxelles,APARTMENT,APARTMENT,379000.0,BUY_REGULAR,2.0,86.0,0,None,0,None,None,None,None,,2,0,GOOD
10283059,Auderghem,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,None,None,0,None,None,None,None,None,None,None,None
10276841,Woluwe-Saint-Lambert,APARTMENT,APARTMENT,350000.0,BUY_REGULAR,2.0,100.0,0,None,0,None,None,None,None,None,2,0,TO_BE_DONE_UP
10281182,Jette,APARTMENT,GROUND_FLOOR,255000.0,BUY_REGULAR,2.0,103.0,0,None,0,1,12,None,None,None,2,0,TO_RENOVATE
10299798,Koekelberg,APARTMENT,APARTMENT,255000.0,BUY_REGULAR,2.0,,None,None,0,1,202,1,202,None,None,0,None
